HoursUsed
2.0
3.0
2.0
1.0
2.0
1.0
3.0
3.0
2.0
2.0
0.0
160.0
4.0
2.0
5.0
1.0
1.0
0.0
4.0
4.0
10.0
9.0
1.0
28.0
0.5
14.0
15.0
120.0
2.0
10.0
2.0
20.0
1.0
15.0
0.0
15.0
3.0
1.5
20.0
1.0
3.0
1.0
10.0
10.0
1.0
6.0
4.0
4.0
1.0
10.0
